User Role ID Password Name 
T;50000000;abcdef;1OAK;
T;50000001;abcdef;3D Mat;
T;50000002;abcdef;3a AUTOCARE;
T;50000003;abcdef;3a Autocare;
T;50000004;abcdef;3kFactory;
T;50000005;abcdef;4D;
T;50000006;abcdef;4D Mats;
T;50000007;abcdef;5 FEELINGS;
T;50000008;abcdef;612 League;
T;50000009;abcdef;69th Avenue;
T;50000010;abcdef;720 Armour;
T;50000011;abcdef;883 Police;
T;50000012;abcdef;925 Silver;
T;50000013;abcdef;999store;
T;50000014;abcdef;@home;
T;50000015;abcdef;A A STORE;
T;50000016;abcdef;A M International;
T;50000017;abcdef;A R ENTERPRISES;
T;50000018;abcdef;A To Z Traders;
T;50000019;abcdef;A-maze;
T;50000020;abcdef;AAO+;
T;50000021;abcdef;ABCD;
T;50000022;abcdef;ABEEZ;
T;50000023;abcdef;ABIDA;
T;50000024;abcdef;ABSTAR;
T;50000025;abcdef;ACCESSOREEZ;
T;50000026;abcdef;ACM;
T;50000027;abcdef;ADDICTION;
T;50000028;abcdef;ADIWALK;
T;50000029;abcdef;AHAANA FASHION;
T;50000030;abcdef;AJ Dezines;
T;50000031;abcdef;AKUP;
T;50000032;abcdef;ALIFS;
T;50000033;abcdef;ALL DAY 365;
T;50000034;abcdef;ALLURING;
T;50000035;abcdef;AM Creation;
T;50000036;abcdef;AMCO;
T;50000037;abcdef;AMY;
T;50000038;abcdef;AMZER;
T;50000039;abcdef;ANAHI;
T;50000040;abcdef;ANAND ARCHIES;
T;50000041;abcdef;ANASAZI;
T;50000042;abcdef;AND Designs;
T;50000043;abcdef;APG;
T;50000044;abcdef;APOLLO+;
T;50000045;abcdef;APS;
T;50000046;abcdef;AQUAPOLO;
T;50000047;abcdef;ARB;
T;50000048;abcdef;ARIHANT;
T;50000049;abcdef;ARISE;
T;50000050;abcdef;ARK Creation;
T;50000051;abcdef;ARMOIRE;
T;50000052;abcdef;AROVI;
T;50000053;abcdef;ARRA;
T;50000054;abcdef;ASHAWAY;
T;50000055;abcdef;ASIAN;
T;50000056;abcdef;ASUS;
T;50000057;abcdef;AT;
T;50000058;abcdef;ATC;
T;50000059;abcdef;ATHENA;
T;50000060;abcdef;ATIS AMCO;
T;50000061;abcdef;ATV;
T;50000062;abcdef;AUROSHIKHA;
T;50000063;abcdef;AUTOSiTY;
T;50000064;abcdef;AW;
T;50000065;abcdef;AYESHA;
T;50000066;abcdef;AYMH;
T;50000067;abcdef;Aadi;
T;50000068;abcdef;Aadishwar Creations;
T;50000069;abcdef;Aaditri28;
T;50000070;abcdef;Aadyaa Collections;
T;50000071;abcdef;Aagam;
T;50000072;abcdef;Aahana Creations;
T;50000073;abcdef;Aaina Home Decor;
T;50000074;abcdef;Aaishwarya;
T;50000075;abcdef;Aakrati;
T;50000076;abcdef;Aakshi;
T;50000077;abcdef;AaliyaB;
T;50000078;abcdef;Aapno Rajasthan;
T;50000079;abcdef;AapnoCrafts;
T;50000080;abcdef;Aapti;
T;50000081;abcdef;Aara Arts;
T;50000082;abcdef;Aaradhi;
T;50000083;abcdef;Aarika;
T;50000084;abcdef;Aarnaa;
T;50000085;abcdef;Aarti Collections;
T;50000086;abcdef;Aarushi Fashion;
T;50000087;abcdef;Aarya 24kt;
T;50000088;abcdef;Aasaan;
T;50000089;abcdef;Aavaya Fashion;
T;50000090;abcdef;Aayat;
T;50000091;abcdef;Abee;
T;50000092;abcdef;Abhinl Fashion;
T;50000093;abcdef;Abhomedecor;
T;50000094;abcdef;Abhooshan;
T;50000095;abcdef;Abhushan;
T;50000096;abcdef;Abony;
T;50000097;abcdef;Abqa Hydrabadi Bangle;
T;50000098;abcdef;Abstract Mood;
T;50000099;abcdef;Accessoreez;
T;50000100;abcdef;Accessory Mart;
T;50000101;abcdef;Accore;
T;50000102;abcdef;Ace;
T;50000103;abcdef;Action;
T;50000104;abcdef;Action Shoes;
T;50000105;abcdef;Ada Jewel;
T;50000106;abcdef;Adaa;
T;50000107;abcdef;Addons;
T;50000108;abcdef;Addyvero;
T;50000109;abcdef;Aden & M;
T;50000110;abcdef;Adhira;
T;50000111;abcdef;Adidas;
T;50000112;abcdef;Adimani;
T;50000113;abcdef;Adino;
T;50000114;abcdef;Adishma;
T;50000115;abcdef;Adiva;
T;50000116;abcdef;Adore London;
T;50000117;abcdef;Adorelabel;
T;50000118;abcdef;Adorn;
T;50000119;abcdef;AdroitZ;
T;50000120;abcdef;Adt Saral;
T;50000121;abcdef;Advent Crafts;
T;50000122;abcdef;Advika;
T;50000123;abcdef;Advikacreations;
T;50000124;abcdef;Adwitiya Collection;
T;50000125;abcdef;Aeoss;
T;50000126;abcdef;Aerosoft;
T;50000127;abcdef;Affinity Jewellers;
T;50000128;abcdef;Agaro;
T;50000129;abcdef;Agnihotra Creations;
T;50000130;abcdef;Agrasen International;
T;50000131;abcdef;Agricart;
T;50000132;abcdef;Agrima;
T;50000133;abcdef;Ahha;
T;50000134;abcdef;Ahuja;
T;50000135;abcdef;Aimedu Toy;
T;50000136;abcdef;AirFlow;
T;50000137;abcdef;Airplus;
T;50000138;abcdef;Airtel;
T;50000139;abcdef;Airwind;
T;50000140;abcdef;Ajaero;
T;50000141;abcdef;Ajanta;
T;50000142;abcdef;Ajay;
T;50000143;abcdef;Akin;
T;50000144;abcdef;Akshaj;
T;50000145;abcdef;Akshyavat;
T;50000146;abcdef;Al Fakher;
T;50000147;abcdef;Alark The Ethnic;
T;50000148;abcdef;Alda;
T;50000149;abcdef;Alicia Souza;
T;50000150;abcdef;Aligatorr;
T;50000151;abcdef;Alisha;
T;50000152;abcdef;Allen Solly;
T;50000153;abcdef;Allin Exporters;
T;50000154;abcdef;Allora;
T;50000155;abcdef;Allure Auto;
T;50000156;abcdef;Alluring;
T;50000157;abcdef;Ally The Creations;
T;50000158;abcdef;Alobha;
T;50000159;abcdef;Alysa;
T;50000160;abcdef;Amadore;
T;50000161;abcdef;Amante;
T;50000162;abcdef;Amantran Jewels;
T;50000163;abcdef;Amardeep;
T;50000164;abcdef;Amatra;
T;50000165;abcdef;Amaze Fashion;
T;50000166;abcdef;Amaze Mobile;
T;50000167;abcdef;Amazing India;
T;50000168;abcdef;Amber;
T;50000169;abcdef;Ambika Lahenga;
T;50000170;abcdef;Ambitione;
T;50000171;abcdef;American Club;
T;50000172;abcdef;American Diamond;
T;50000173;abcdef;American Swan;
T;50000174;abcdef;American-Elm;
T;50000175;abcdef;Amirich;
T;50000176;abcdef;Amit Carpet;
T;50000177;abcdef;Amita Home Furnishing;
T;50000178;abcdef;Amore;
T;50000179;abcdef;Amour;
T;50000180;abcdef;Amzer;
T;50000181;abcdef;Anand's;
T;50000182;abcdef;Andrew Christian;
T;50000183;abcdef;Angelfish;
T;50000184;abcdef;Anjali;
T;50000185;abcdef;Anjalika;
T;50000186;abcdef;Anjan;
T;50000187;abcdef;Anker;
T;50000188;abcdef;Ankita;
T;50000189;abcdef;Anmol;
T;50000190;abcdef;Anno Dominii;
T;50000191;abcdef;Anshul Fashion;
T;50000192;abcdef;Anshul fashion;
T;50000193;abcdef;AntiqueShop;
T;50000194;abcdef;Antistreet;
T;50000195;abcdef;Antshrike;
T;50000196;abcdef;Anupam;
T;50000197;abcdef;Anupamaa;
T;50000198;abcdef;Anuradha Art;
T;50000199;abcdef;Anuze Fashions;
T;50000200;abcdef;Apex;
T;50000201;abcdef;Apkamart;
T;50000202;abcdef;Apoxy;
T;50000203;abcdef;Apple;
T;50000204;abcdef;Araanz by Tribhovandas Bhimji Zaveri Delhi;
T;50000205;abcdef;Archi Collection;
T;50000206;abcdef;Arcley;
T;50000207;abcdef;Areon;
T;50000208;abcdef;Arghyam;
T;50000209;abcdef;Aria;
T;50000210;abcdef;Arial Morris;
T;50000211;abcdef;Aroma Care;
T;50000212;abcdef;Aroma Comfort;
T;50000213;abcdef;Arow;
T;50000214;abcdef;Arsalan;
T;50000215;abcdef;Arshia Fashions;
T;50000216;abcdef;Art Antiqua;
T;50000217;abcdef;Art Godaam;
T;50000218;abcdef;Art N Hub;
T;50000219;abcdef;Art n Beyond;
T;50000220;abcdef;Artengo;
T;50000221;abcdef;Artifa;
T;50000222;abcdef;Artnconcept;
T;50000223;abcdef;Asavari world;
T;50000224;abcdef;Ashdan;
T;50000225;abcdef;AsiaCraft;
T;50000226;abcdef;Asian;
T;50000227;abcdef;Asian Aura;
